department,level,full_name,description,raw_precoreqs,offer_frequency,cross_listed,credit_hours,short_name,prerequisites,corequisites
CHEM,4420,Microscopic Physical Chemistry,"A course dealing primarily with physicochemical properties of substances on a molecular basis. Chemical kinetics, quantum chemistry, spectroscopy, and statistical mechanics.",Prerequisite: MATH 2400.,Fall and spring terms annually.,,3,CHEM-4420,['MATH-2400'],[]
CHEM,4440,Physical Chemistry for Life Sciences,"Topics in physical chemistry that are important for understanding processes in biological systems. Included are: thermodynamics as applied to phase and chemical equilibria in chemical and biochemical systems; passive transport models for diffusion and electrical conductivity in electrolyte solutions; kinetic models for simple and complex chemical reactions, including enzyme mechanisms; quantum mechanical models used in spectroscopy.",Prerequisites: CHEM 1200 and MATH 1010.,Fall and summer terms annually.,,4,CHEM-4440,"['CHEM-1200', 'MATH-1010']",[]
CHEM,4470,Theoretical Chemistry,Introduction to quantum mechanics and applications in chemical systems. Atomic and molecular spectra and structure. Statistical thermodynamics.,Prerequisite: CHEM 4410.,Fall term annually.,,3,CHEM-4470,['CHEM-4410'],[]
CHEM,4530,Modern Techniques in Chemistry,"A lecture/laboratory course for Chemical Engineering students. Topics include the principles of chemical equilibria and their relation to modern analytical methods and the basis of instrumental techniques for characterizing the chemical structures and properties of compounds. The course provides laboratory experience in the use of modern instruments along with other chemical techniques. Aspects of analytical, organic, and physical chemistry will be illustrated throughout the course. Students cannot get credit for both this course and CHEM 2110.",Prerequisites: CHEM 2250.,"Fall, spring, and summer terms annually.",,4,CHEM-4530,['CHEM-2250'],[]
CHEM,4620,Introduction to Polymer Chemistry,"This course will introduce synthetic and kinetic aspects of various polymerization reactions that have been employed to produce commodity and specialty plastic materials. Control and prediction of the molecular weight distribution for different polymerization mechanisms will be discussed along with various characterization techniques of molecular weight distribution and its relation to properties. Thermal/solution properties, chemical/physical properties, and uses of polymers also will be discussed.",Prerequisite: CHEM 2260 or permission of instructor.,Spring term annually.,,3,CHEM-4620,['CHEM-2260'],[]
CHEM,4690,Aqueous Geochemistry,"Fundamentals of aqueous chemistry as applied to the evolution of natural waters. The course covers principles of chemical equilibrium, activity models for solutes, pH as a master variable, concentration and Eh-pH diagrams, mineral solubility, aqueous complexes, ion exchange, and stable isotopes. The carbonate system, weathering reactions, and acid rain are examined in detail. Emphasis is on the chemical reactions that control surface and groundwater evolution in natural and engineered (treatment process) settings. Students learn theory, computation methods, and the use of computer programs for calculation of speciation and mass balance.",Permission of instructor.,Fall term annually.,Cross listed as ENVE 4110 and ERTH 4690. Students cannot receive credit for both this course and either ERTH 4690 or ENVE 4110.,4,CHEM-4690,[],[]
CHEM,4710,Chemical Biology,This course introduces the fundamentals of protein structure and function with an emphasis on chemical concepts as applied to biological problems. It provides an introduction to enzymatic reaction mechanisms and includes interactive hands-on computer-aided visualization exercises. The goal is to equip students with an understanding and appreciation for the diversity and versatility of protein function. This course is intended for upper-level undergraduate students in the School of Science and Engineering. Students cannot get credit for both this course and CHEM 6710.,,Fall term annually.,,3,CHEM-4710,[],[]
CHEM,4760,Molecular Biochemistry I,"Part I of a two-semester sequence focusing on the chemistry, structure, and function of biological molecules, macromolecules, and systems. Topics covered include protein and nucleic acid structure, enzymology, mechanisms of catalysis, regulation, lipids and membranes, carbohydrates, bioenergetics, and carbohydrate metabolism. (Students cannot obtain credit for both this course and either BIOL 4760 or BCBP 4760.)",CHEM 2250 and BIOL 1010 or BIOL 2120 or equivalents.,Fall term annually.,"Cross listed with BCBP 4760, BIOL 4760.",4,CHEM-4760,"['CHEM-2250', 'BIOL-1010', 'BIOL-2120']",[]
CHEM,4770,Molecular Biochemistry II,"The second semester of the Molecular Biochemistry sequence. Topics include lipids and lipid metabolism, amino acid metabolism and the coenzymes involved in this metabolism, nucleic acid synthesis and chemistry, protein synthesis and degradation, integration of metabolism, photobiology, and photosynthesis. This course is taught in studio mode. (Students cannot obtain credit for both this course and either BIOL 4770 or BCBP 4770.)",Prerequisite: CHEM 4760 or equivalent.,Spring term annually.,,4,CHEM-4770,['CHEM-4760'],[]
CHEM,4780,Bioenergetics: The Art of Energy Conversion in Nature,This course introduces the chemical and physical principles of energy transformation in nature. It emphasizes the structure and function of proteins with a special focus on highly-efficient energy conversion in mitochondrial and photosynthetic systems. The course provides the basic physical and chemical concepts that are required for understanding energy conversion and offers design principles that can be applied to the improvement of man-made catalytic and other devices for energy conversion and storage. It is intended for graduate or upper-level undergraduate students in the School of Science and Engineering. There are no prerequisites for this course. Students cannot get credit for both this course and CHEM 6780.,,Spring term depending upon instructor availability.,CHEM 6780.,3,CHEM-4780,[],[]
CHEM,4810,Chemistry of the Environment,"Chemical processes important in the environment from naturally occurring and man-induced systems. Thermodynamic and chemical considerations of fuels; the thermodynamics of the atmosphere; atmospheric photochemistry; chemistry of natural water systems; chemistry of pesticides, fertilizers, and other important environmental contaminants; aspects of the carbon, nitrogen, and sulfur cycles.",Prerequisites: CHEM 1200 and one prior or concurrent course in organic chemistry or permission of instructor.,Spring term annually.,ERTH 4810. Students cannot obtain credit for both this course and ERTH 4810.,4,CHEM-4810,['CHEM-1200'],[]
CHEM,4900,Professional Development Seminar,Weekly seminars on topics of concern to students who are about to embark on their professional careers in chemistry. Topics will include employment and career opportunities; graduate school; ethical requirements and expectations in the profession; patent considerations; new directions in research and other topical matters. Restricted to senior chemistry majors.,,Fall term annually.,,1,CHEM-4900,[],[]
CHEM,4950,Senior Experience,"As a confirmation of their ability to integrate their knowledge of chemistry to deal with a research problem, students will present a research-style paper and conference-style poster on a research-related topic. This is preferred to be on a prior or ongoing undergraduate research project, but may be a literature review on approval by the instructor.",,,,2,CHEM-4950,[],[]
CHEM,4960,Selected Topics in Chemistry,,,,,1 to 4,CHEM-4960,[],[]
CHEM,4970,Advanced Research Project,An independent research project in a faculty research laboratory for junior and senior students with prior research experience. Requires permission of the instructor.,,Fall and spring terms annually.,,1-4,CHEM-4970,[],[]
CHEM,4990,Senior Thesis,"A two-semester spring-fall or fall-spring course dealing with an advanced level independent research project supervised by a faculty member and requiring the presentation of a thesis. First term registration is limited to second semester juniors and first semester seniors. The grade for the first semester will be listed as ""in progress.""",Permission of instructor.,,,3 credits each semester,CHEM-4990,[],[]
CHEM,6010,Perspectives in Chemistry,"The objective of this course is to prepare graduate students for research in chemistry. Topics will include general and universal aspects of research in science, such as the written and oral presentation of scientific findings and the ethical considerations involved in the publication of these findings, and a survey of the current research topics of the department including emphasis on the fundamental science that underlies these topics.",,Fall term annually.,,3,CHEM-6010,[],[]
CHEM,6020,Advanced Inorganic Chemistry I,Structure and bonding in inorganic molecules and crystals; stabilities of inorganic compounds; coordination chemistry and organometallic compounds; acid-base concepts; nonstoichiometry and phase relationships.,,Fall term annually.,,3,CHEM-6020,[],[]
CHEM,6130,Mass Spectrometry,"Survey of modern techniques in and associated with mass spectrometry, including historical perspectives, strengths/weaknesses, detection/quantification of analytes, ionization source/mass analyzer design, and construction of associated technologies including vacuum systems, ion detection, and ion optics. Ion formation processes will also be discussed. Students cannot get credit for both CHEM 4130 and CHEM 6130.",,Fall term upon sufficient demand.,,3,CHEM-6130,[],[]
CHEM,6140,NMR Spectroscopy for Scientists and Engineers,"This course will review modern techniques of multi-dimensional NMR spectroscopy, including the history of magnetic resonance, principles of NMR, 13C and 1H NMR, multinuclear NMR, 2D homonuclear and heteronuclear methods, nuclear Overhauser effect, relaxation, structure elucidation, solid-state NMR and the nuts and bolts of NMR spectrometers and probes. This course is intended for graduate and upper-level undergraduate students in the School of Science and Engineering. Students cannot get credit for both this course and CHEM 4140.",,Spring term annually.,,3,CHEM-6140,[],[]
CHEM,6170,Advanced Topics in Nuclear Magnetic Resonance,"Advanced graduate course covering fundamental aspects of NMR common for application in a broad range of fields. Classical and quantum-mechanical descriptions are utilized to explore information content of NMR pulse sequences. The latter approach includes density matrix theory and proceeds with the product-operator formalism. Practical aspects and data analysis are also described. Subsequent focus is on liquid-state NMR of biological macromolecules, including resonance assignment and determination of molecular structure and dynamics. Students cannot obtain credit for both this course and BCBP 6170.",Prerequisite: CHEM 4410 or equivalent.,Spring term annually.,,4,CHEM-6170,['CHEM-4410'],[]
CHEM,6200,Organic Spectra Interpretation,"Spectra of various kinds are essential tools in modern chemistry. This course will deal with the interpretation of mass, infrared, NMR and UV-visible spectra as applied to the identification and structural characterization of organic compounds.",,Fall term annually.,,3,CHEM-6200,[],[]
CHEM,6210,Advanced Organic Chemistry I,An introduction to the organic chemical literature. A consideration of reactions of synthetic importance to the organic chemist with emphasis on the influence of structure on the behavior of organic molecules.,,A fall-spring sequence annually.,,3,CHEM-6210,[],[]
CHEM,6250,"Glycochemistry, Glycobiology, and Glychotechnology","This is an advanced graduate level course on carbohydrates covering their physicochemical properties, chemical and biochemical synthesis and analysis. The biological activity of polysaccharides, glycoproteins, proteoglycans, and glycolipids, and the role of glycomics in development and disease will be discussed. The application of glycotechnology and glycoengineering for the preparation of therapeutic glycans and glycan-coated materials will be covered.",Prerequisite: a working knowledge of organic chemistry and biochemistry is required.,,,3,CHEM-6250,[],[]
CHEM,6300,Medicinal Chemistry,"The organic chemistry of drug discovery and synthesis will be the focus of this course. Starting with the basic concepts of molecular-targeted drug discovery, the process of lead identification will be explored with special emphasis on drug screening and combinatorial chemistry. The roles of computational chemistry, molecular modeling, and biophysical methods in the understanding of the relationship between structure and biological activity will be studied. The chirality of drugs from both the biological and synthetic perspectives will also be explored.",Prerequisite: CHEM 6210 or permission of instructor.,,,3,CHEM-6300,['CHEM-6210'],[]
CHEM,6310,Bioorganic Mechanisms,"The study of mechanisms of organic reactions in biochemical processes on a molecular level. Enzyme active sites, mechanisms of enzymatic transformations, catalysis, cofactors, enzyme kinetics, environmental toxicology. Strong emphasis on the design and mechanism of action of pharmaceutical agents. Meets with CHEM 4310; both courses cannot be taken for credit.",Permission of instructor.,Spring term odd-numbered years.,,3,CHEM-6310,[],[]
CHEM,6330,Drug Discovery,"This course will examine how bioinformatics, functional genomics, and other modern biotechnologies are used to speed the discovery of new drugs, especially those small organic molecules to treat human diseases with large unmet therapeutic need. Special emphasis will be placed on molecular target identification and validation as well as high-throughput screening to identify a lead. Topics to be discussed will include transgenic mice, RNA interference, DNA and protein microarrays, homogenous time-resolved fluorescence bioassays, phage-display, combinatorial chemistry, and parallel synthesis. Students cannot receive credit for both this course and CHEM 4330.",Prerequisite: a knowledge of organic chemistry is required.,,,3,CHEM-6330,[],[]
CHEM,6490,Chemical Thermodynamics,"The principles of thermodynamics, with their applications to homogeneous and heterogeneous equilibria.",Permission of instructor.,Upon sufficient demand.,,3,CHEM-6490,[],[]
CHEM,6510,Computational Chemistry,This course is designed to cover the history and application of modern computational chemistry techniques to chemical problems. It will provide familiarity with the various methods and tools presently in use and the assumptions and limitations inherent in each approach. The format involves both lecture and studio modes of instruction and meets in a classroom where each student has a modern workstation.,,Spring term even-numbered years.,,3,CHEM-6510,[],[]
CHEM,6520,Advanced Analytical Chemistry,"A course in the principles of analytical chemistry emphasizing the role of equilibrium chemistry in chemical analysis and the statistical design of experiments. Topics covered include equilibrium chemistry, electrochemistry, chromatographic separations, thermal methods, and chemometrics/experimental design.",,Spring term annually.,,3,CHEM-6520,[],[]
CHEM,6530,Quantum Chemistry,"Postulates of quantum mechanics. Solution of the particle in a box, harmonic oscillator, and the hydrogen atom via series solutions and ladder operator techniques. Development of atomic and molecular orbital theories with applications to structure and spectra.",,Fall term annually.,,3,CHEM-6530,[],[]
CHEM,6540,Electrochemistry,"The chief objectives of this course are to build knowledge and practical understanding of electrochemistry. The course will cover the basics of electrode processes and how thermodynamics, electron-transfer kinetics and mass transport control electrochemical reactions. It will also cover how to design electrochemical experiments to solve problems in chemical analysis. Students will learn about ways in which electrochemical methods are used to solve problems in energy and the environment, and how to evaluate the resulting data.",,Spring term even-numbered years.,,3,CHEM-6540,[],[]
CHEM,6550,Advanced Physical Chemistry,"This course provides a thorough survey of the basics of chemical thermodynamics and quantum mechanics at the graduate level, with advanced applications of these subjects to chemical systems. The basics of statistical thermodynamics, intermolecular interactions, group theory, and applications to spectroscopic methods are also covered.",,Spring term annually.,,3,CHEM-6550,[],[]
CHEM,6610,Natural and Biobased Polymers and Materials,"This course provides an introduction to natural and biobased polymers that have a broad range of uses such as biodegradable plastics, hydrogels, coatings, polymeric drugs and bioresorbable polymers. Topics discussed include an introduction to polymer science, natural building blocks, integration of biocatalytic and chemical synthetic methods, principles of green chemistry and sustainability. A working knowledge of organic chemistry and biochemistry is required.",,,,3,CHEM-6610,[],[]
CHEM,6660,Polymer Analysis and Characterization,"The objective of this course is to provide the student with a broad survey of methods of analysis and characterization of polymers. Thermal analysis, molecular weight characterization, spectroscopy, and mechanical property determination will be reviewed with an emphasis on method of measurement, quantities measured, and quantities derived from the measurements. Select applications will be used to convey the usefulness of these methods for characterizing polymers and their properties.",,Spring term even-numbered years.,,3,CHEM-6660,[],[]
CHEM,6710,Chemical Biology,This course introduces the fundamentals of protein structure and function with an emphasis on chemical concepts as applied to biological problems. It provides an introduction to enzymatic reaction mechanisms and includes interactive hands-on computer-aided visualization exercises. The goal is to equip students with an understanding and appreciation for the diversity and versatility of protein function. This course is intended for graduate or upper-level undergraduate students in the School of Science and Engineering.,,Fall term annually.,CHEM 4710. Students cannot get credit for both this course and CHEM 4710.,3,CHEM-6710,[],[]
CHEM,6750,Biocatalysis: Fundamentals and Applications,"This course provides an introduction to the field of biocatalysis that includes both free enzyme and whole cell processes. Lectures on free enzymes will discuss their catalytic mechanism(s), immobilization and use in aqueous and organic media. Lectures on biocatalytic transformations by whole cells will discuss metabolic pathways to products, fermentation processes, and whole cell immobilization. Integrated within the course will be discussions of the relative merits of biocatalysis vs. chemical catalysis for chemical conversions as well as examples of current uses of biocatalytic processes by industry.",,,,3,CHEM-6750,[],[]
CHEM,6780,Bioenergetics: The Art of Energy Conversion in Nature,This course introduces the chemical and physical principles of energy transformation in nature. It emphasizes the structure and function of proteins with a special focus on highly-efficient energy conversion in mitochondrial and photosynthetic systems. The course provides the basic physical and chemical concepts that are required for understanding energy conversion and offers design principles that can be applied to the improvement of man-made catalytic and other devices for energy conversion and storage. It is intended for graduate or upper-level undergraduate students in the School of Science and Engineering. There are no prerequisites for this course. Students cannot get credit for both this course and CHEM 4780.,,Spring term depending on instructor availability.,CHEM 4780.,3,CHEM-6780,[],[]
CHEM,6780,Protein Folding,"The biophysical mechanism of protein folding and the role of misfolding in human disease is explored. The course will introduce principles of protein structure, protein folding in the cell, and thermodynamic and kinetic methods for studying protein folding in vitro. The course will also involve a literature-based discussion of human diseases related to protein folding defects, including Alzheimer's and other amyloid diseases, cystic fibrosis, and Prion-related syndromes.",Prerequisites or corequisites: CHEM 4760 or BCBP 4760 or equivalent.,Fall term odd-numbered years.,,4,CHEM-6780,"['CHEM-4760', 'BCBP-4760']","['CHEM-4760', 'BCBP-4760']"
CHEM,6900,Chemistry Seminar,,,,,1,CHEM-6900,[],[]
CHEM,6910,Chemistry Teaching Seminar,"Discussions and seminars on how to deal with the various aspects of teaching and related problems encountered by teaching assistants in chemistry. Seminar topics will include: cognitive theories of learning; several models of teaching; educational psychology; attitude and motivational factors; communication and presentation skills; leadership; time management; how to write an exam; grading problems; ethics; group problem solving skills; and cultural diversity. Seminars will be led by a senior, experienced teaching assistant along with participating faculty.",,Fall term annually.,,1,CHEM-6910,[],[]
CHEM,6940,Readings in Chemistry,,,,,1 to 3,CHEM-6940,[],[]
CHEM,6950,Introduction to Research,"A course for first semester chemistry graduate students that involves rotations of four weeks each through three research groups to become familiar with research in the department. Students will participate in various research-related activities, including group meetings, reading papers, exploring potential thesis projects, and shadowing or assisting graduate students working in the lab. The main goal of the course is to assist graduate students in their selection of a research adviser.",,,,3,CHEM-6950,[],[]
CHEM,6960,Selected Topics in Chemistry,,,,,1 to 3,CHEM-6960,[],[]
CHEM,6970,Masters Project,"Active participation in a semester-long research project, under the supervision of a faculty adviser, leading to a master's project report. This research project serves as the culminating experience for the master's project track. The research project must result in documentation established by the department, but is not submitted to the Office of Graduate Education and is  not archived in the library.",,,,3,CHEM-6970,[],[]
CHEM,6990,Master's Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",,,,1 to 9,CHEM-6990,[],[]
CHEM,9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,,,Variable,CHEM-9990,[],[]
CHME,1010,Introduction to Chemical Engineering,"This is an elective course suitable for first-year students interested in chemical engineering. It introduces students to the profession, including the technical content, career opportunities, and societal impact.",,Fall term annually.,,1,CHME-1010,[],[]
CHME,2010,"Material, Energy, and Entropy Balances","Development of the ability to apply and solve equations of balance for chemical-process systems, laying the foundation for subsequent chemical engineering courses in unit operations and process design. Topics include process flowsheeting, mass and mole balances for nonreactive and reactive systems, properties of fluids, and the first and second laws of thermodynamics.",,Fall term annually.,,4,CHME-2010,[],[]
CHME,2020,"Energy, Entropy, and Equilibrium","A continuation of CHME 2010. Topics include process flowsheeting, solution thermodynamics, phase equilibria, chemical-reaction equilibria, and applications of thermodynamics to problems in chemical-process design. One credit hour of this course is devoted to Professional Development.",Prerequisites: CHME 2010 and MATH 2400 or equivalent.,Spring term annually.,,3,CHME-2020,"['CHME-2010', 'MATH-2400']",[]
CHME,2050,Introduction to Computational Chemical Engineering,"This course introduces common computational techniques that are used in Chemical Engineering. Topics include solving algebraic equations, data analysis, numerical differentiation and integration, and numerical solutions of differential equations applied to chemical engineering problems. Multiple numerical approaches will be used, including an introduction to computer programming.",MATH 2400 as a prerequisite only.,Fall and spring terms annually.,,3,CHME-2050,['MATH-2400'],[]
CHME,2940,Readings in Chemical Engineering,,,,,1 to 3,CHME-2940,[],[]
CHME,2960,Topics in Chemical Engineering,,,,,3,CHME-2960,[],[]
CHME,2980,Senior Project,,,,,1 to 3,CHME-2980,[],[]
CHME,4010,Transport Phenomena I,"An introductory course in transport phenomena covering fluid statics, and one-dimensional diffusive processes including laminar flow, heat conduction, and mass diffusion. Course focuses on developing the equations of change, introducing sum-of-resistance concepts and couple fluid flow, heat transfer, and mass transfer problems. The concept of extended surfaces as a means of enhancing transport process is included. The course introduces numerical simulation concepts for solving simple, one-dimensional transport problems. Credit not allowed for both this course and ENGR 2250.",Prerequisite: MATH 2400 and CHME 2010.,Fall term annually.,,4,CHME-4010,"['MATH-2400', 'CHME-2010']",[]
CHME,4020,Transport Phenomena II,"A continuation of CHME 4010. Course includes topics on multi-dimensional transport processes, potential, boundary layer and turbulent fluid flows, convective heat and mass transfer processes, friction factors and drag in and around solid objects, heat and mass exchangers, and radiation heat transfer. The course extends the use of numerical methods to apply to multidimensional problems, convective heat and mass transfer problems, and the simulation of more complicated fluid flows including turbulence approximations. Credit not allowed for both this course and ENGR 2250.",Prerequisite: MATH 2400 and CHME 4010.,Spring term annually.,,4,CHME-4020,"['MATH-2400', 'CHME-4010']",[]
CHME,4030,Chemical Process Dynamics and Control,"Introduction to modeling and control of dynamic chemical processes. Topics include the development of first-principles models, linearization and state space form, input/output (transfer function) form, design and tuning of PID controllers, model-based control, frequency response for robustness analysis, case studies in multivariable control, numerical analysis, and simulation.","Prerequisite: CHME 2010, CHME 2050, and MATH 2400.",Fall term annually.,,4,CHME-4030,"['CHME-2010', 'CHME-2050', 'MATH-2400']",[]
CHME,4040,Chemical Engineering Separations,"The application of the fundamentals of chemistry, thermodynamics, mathematics, and transport phenomena to the design and evaluation of stage-wise and continuous contacting apparatus and systems for separating and purifying chemical materials. Steady-state and transient processes are studied.","Prerequisites: CHME 2020, CHME 4010, and CHME 4020.",Fall term annually.,,3,CHME-4040,"['CHME-2020', 'CHME-4010', 'CHME-4020']",[]
CHME,4050,Chemical Process Design,"The design of equipment, processes, and systems of interest in chemical engineering through application of scientific, technological, and economic principles. The concepts of product design, design for the environment, and the ethical and safety issues of design are introduced. Emphasis is placed on problem formulation and the conceptual, analytical, and decision aspects of open-ended design situations. The work integrates knowledge and skills gained in previous and concurrent courses. This is a communication-intensive course.",Prerequisites: CHME 4040 and CHME 4500.,Spring term annually.,,4,CHME-4050,"['CHME-4040', 'CHME-4500']",[]
CHME,4150,Chemical Engineering Laboratory I,"A two-term laboratory course on experimental analysis of the operations and processes of chemical engineering. Emphasis is placed on planning of experiments, data evaluation, and report writing.","Prerequisites: CHME 4010, CHME 4020, and CHME 2020.",Fall term annually.,,3,CHME-4150,"['CHME-4010', 'CHME-4020', 'CHME-2020']",[]
CHME,4160,Chemical Engineering Laboratory II,"A two-term laboratory course on experimental analysis of the operations and processes of chemical engineering. Emphasis is placed on planning of experiments, data evaluation, and report writing.","Prerequisites: CHME 4150, CHME 4040, and CHME 4500.",Spring term annually.,,3,CHME-4160,"['CHME-4150', 'CHME-4040', 'CHME-4500']",[]
CHME,4170,Bioprocessing Laboratory Course,"A one-term laboratory course covering the fundamentals of biotechnology and bioprocessing including molecular biology, fermentation, and protein purification.",Prerequisite: senior standing in chemical and biological engineering. CHME 4430 strongly recommended.,Spring term annually.,,3,CHME-4170,['CHME-4430'],[]
CHME,4400,Chromatographic Separation Processes,"Theory and practice of chromatographic separation processes. Topics include chromatographic dispersion, adsorption isotherms, solute movement analysis, chromatographic techniques (reversed-phase, HIC, ion exchange, affinity, and size exclusion), modes of operation (gradient, elution, displacement, and continuous systems), novel morphologies and chromatographic applications in biotechnology. Includes critical reviews of the current literature and computer simulations. Suitable for graduate students in chemical engineering, chemistry, biology, and biomedical engineering. Students cannot receive credit for both CHME 4400 and CHME 6440.",Prerequisite: senior or graduate standing in chemical engineering or permission of instructor.,Spring term annually.,,3,CHME-4400,[],[]
CHME,4430,Introduction to Biochemical Engineering,"Description, fundamentals, and engineering features of processes using microbial, plant or animal cells or their enzymes. Topics include review of biochemistry, review of microbiology, computer simulation, growth, death, aseptic techniques, continuous culture, fermenter design, sterilization, mixed cultures, process scale up, immobilized cells and enzymes, recovery of products, and process economics. Weekly exercises requiring personal computers.",Prerequisite: background in chemical engineering or microbiology. Biochemistry strongly recommended.,Fall term annually.,,3,CHME-4430,[],[]
CHME,4460,Biomolecular Engineering,"This course will focus on 1) designing, engineering, and selecting proteins and other biomolecules with desired functional and biophysical properties (high thermal stability, high solubility, low propensity to aggregate), and 2) characterizing thermodynamic and kinetic properties (folding, oligomerization, and self-association) of these biomolecules. (Students may not receive credit for both this course and CHME 6460.)",Prerequisites: BIOL 1010 or BIOL 2120 or equivalent.,Spring term annually.,,3,CHME-4460,"['BIOL-1010', 'BIOL-2120']",[]
CHME,4480,Single Molecules Complex Fluid,"This course will focus on the connections between the behavior of single molecules and their interactions and macroscopic non-Newtonian behavior. It will discuss microscopic models of these systems, techniques for measuring and manipulating the microstructure, and the impact on macroscopic behavior. Students may not receive credit for both this course and CHME 6480.",CHME 4020 or equivalent.,Spring term even-numbered years.,,3,CHME-4480,['CHME-4020'],[]
